event_type,protein_id, protein parent id,shine_dal,length,concentration,hamming_dist,dist_next_protein,nb_proteins,dna_length,m,w,h,c,f
initial,0,0,316,7,0,4,454,127,10541,0.571429,0.00333333,-0.333333,0.2,functional
initial,1,0,360,57,0,4,44,127,10541,0.591266,0.00738945,0.546764,0.4,functional
initial,2,0,465,22,0,4,105,127,10541,0.637795,0.00677419,0.499511,0.4,functional
initial,3,0,538,25,0,4,73,127,10541,0.622047,0.00803922,0.466276,0.4,functional
initial,4,0,614,15,0,4,76,127,10541,0.677419,0.00933333,0.492063,0.4,functional
initial,5,0,1254,10,0,3,640,127,10541,0.733333,0.01,0.741935,0.4,functional
initial,6,0,1328,19,0,3,74,127,10541,0.297456,0.01,0.548387,0.4,functional
initial,7,0,1435,32,0,3,107,127,10541,0.362035,0.00741935,0.593764,0.6,functional
initial,8,0,1640,2,0,3,205,127,10541,0.5,0,-1,0.6,non functional
initial,9,0,1643,1,0,3,3,127,10541,0.5,0,-1,0.6,non functional
initial,10,0,1847,16,0,4,204,127,10541,0.6,0.00333333,-0.619048,0.2,functional
initial,11,0,1924,22,0,4,77,127,10541,0.921569,0.00984127,0.027451,0.2,functional
initial,12,0,2017,22,0,4,93,127,10541,0.342466,0.00714286,0.751711,0.2,functional
initial,13,0,2324,24,0,4,307,127,10541,0.812454,0.01,1,0.2,functional
initial,14,0,2440,19,0,4,116,127,10541,0.239216,0.01,0.498039,0.2,functional
initial,15,0,2560,29,0,4,120,127,10541,0.423265,0.00952941,0.398144,0.2,functional
initial,16,0,2959,20,0,4,399,127,10541,0.412698,0.01,0.48728,0.4,functional
initial,17,0,3058,38,0,4,99,127,10541,0.830972,0.00715681,0.34667,0.4,functional
initial,18,0,3106,22,0,4,48,127,10541,0.677104,0.00904762,0.496063,0.4,functional
initial,19,0,3196,4,0,4,90,127,10541,0,0,-1,0.4,non functional
initial,20,0,3348,15,0,4,152,127,10541,0.83871,0.01,0.52381,0.4,functional
initial,21,0,3428,12,0,4,80,127,10541,0.333333,0.00888889,1,0.4,functional
initial,22,0,3553,20,0,4,125,127,10541,0.612903,0.00818898,0.6,0.4,functional
initial,23,0,3651,6,0,4,98,127,10541,0.6,0.01,1,0.4,functional
initial,24,0,3699,7,0,4,48,127,10541,0.571429,0.01,0.333333,0.4,functional
initial,25,0,3779,22,0,4,80,127,10541,0.909804,0.00984252,0.0393701,0.2,functional
initial,26,0,3846,23,0,4,67,127,10541,0.809768,0.01,1,0.2,functional
initial,27,0,3917,16,0,4,71,127,10541,0.213307,0.01,0.269841,0.2,functional
initial,28,0,3989,25,0,4,72,127,10541,0.706888,0.00666667,0.687195,0.2,functional
initial,29,0,4151,15,0,4,162,127,10541,0.857143,0.00774194,-0.637795,0.2,functional
initial,30,0,4385,6,0,4,234,127,10541,0.857143,0.01,1,0.2,functional
initial,31,0,4531,29,0,3,146,127,10541,0.691105,0.00761905,-0.0526187,0.4,functional
initial,32,0,4534,28,0,3,3,127,10541,0.691105,0.00761905,0.894994,0.4,functional
initial,33,0,4771,13,0,4,237,127,10541,0.142857,0.01,0.0588235,0.2,functional
initial,34,0,4828,8,0,4,57,127,10541,0.6,0.01,1,0.2,functional
initial,35,0,4845,12,0,4,17,127,10541,0.225806,0.00285714,-0.2,0.2,functional
initial,36,0,4993,18,0,3,148,127,10541,0.682353,0.00857143,0.511811,0.4,functional
initial,37,0,5127,28,0,4,134,127,10541,0.252446,0.01,0.687551,0.2,functional
initial,38,0,5299,11,0,3,172,127,10541,0.571429,0.01,0.543307,0.4,functional
initial,39,0,5691,9,0,3,392,127,10541,0,0.00333333,-0.677419,0.4,functional
initial,40,0,6194,12,0,4,503,127,10541,0.761905,0.01,1,0.2,functional
initial,41,0,6304,29,0,4,110,127,10541,0.822621,0.01,0.778293,0.4,functional
initial,42,0,6366,15,0,4,62,127,10541,0.266667,0.01,0.529412,0.4,functional
initial,43,0,6453,7,0,4,87,127,10541,0.8,0.01,1,0.4,functional
initial,44,0,6528,19,0,2,75,127,10541,0.587302,0.00714286,0.517107,0.6,functional
initial,45,0,6615,36,0,4,87,127,10541,0.16047,0.0098045,0.0819632,0.2,functional
initial,46,0,6683,8,0,4,68,127,10541,0.666667,0.00333333,-0.733333,0.2,functional
initial,47,0,6746,22,0,4,63,127,10541,0.77048,0.01,1,0.2,functional
