mut_type,protein_id,shine_dal,length,concentration,hamming_dist,dist_next_protein,nb_proteins,dna_length
initial,0,316,7,0,4,454,127,10541
initial,1,360,57,0,4,44,127,10541
initial,2,465,22,0,4,105,127,10541
initial,3,538,25,0,4,73,127,10541
initial,4,614,15,0,4,76,127,10541
initial,5,1254,10,0,3,640,127,10541
initial,6,1328,19,0,3,74,127,10541
initial,7,1435,32,0,3,107,127,10541
initial,8,1640,2,0,3,205,127,10541
initial,9,1643,1,0,3,3,127,10541
initial,10,1847,16,0,4,204,127,10541
initial,11,1924,22,0,4,77,127,10541
initial,12,2017,22,0,4,93,127,10541
initial,13,2324,24,0,4,307,127,10541
initial,14,2440,19,0,4,116,127,10541
initial,15,2560,29,0,4,120,127,10541
initial,16,2959,20,0,4,399,127,10541
initial,17,3058,38,0,4,99,127,10541
initial,18,3106,22,0,4,48,127,10541
initial,19,3196,4,0,4,90,127,10541
initial,20,3348,15,0,4,152,127,10541
initial,21,3428,12,0,4,80,127,10541
initial,22,3553,20,0,4,125,127,10541
initial,23,3651,6,0,4,98,127,10541
initial,24,3699,7,0,4,48,127,10541
initial,25,3779,22,0,4,80,127,10541
initial,26,3846,23,0,4,67,127,10541
initial,27,3917,16,0,4,71,127,10541
initial,28,3989,25,0,4,72,127,10541
initial,29,4151,15,0,4,162,127,10541
initial,30,4385,6,0,4,234,127,10541
initial,31,4531,29,0,3,146,127,10541
initial,32,4534,28,0,3,3,127,10541
initial,33,4771,13,0,4,237,127,10541
initial,34,4828,8,0,4,57,127,10541
initial,35,4845,12,0,4,17,127,10541
initial,36,4993,18,0,3,148,127,10541
initial,37,5127,28,0,4,134,127,10541
initial,38,5299,11,0,3,172,127,10541
initial,39,5691,9,0,3,392,127,10541
initial,40,6194,12,0,4,503,127,10541
initial,41,6304,29,0,4,110,127,10541
initial,42,6366,15,0,4,62,127,10541
initial,43,6453,7,0,4,87,127,10541
initial,44,6528,19,0,2,75,127,10541
initial,45,6615,36,0,4,87,127,10541
initial,46,6683,8,0,4,68,127,10541
initial,47,6746,22,0,4,63,127,10541
initial,48,6793,5,0,4,47,127,10541
initial,49,7666,21,0,4,873,127,10541
initial,50,7743,23,0,4,77,127,10541
initial,51,8124,28,0,4,381,127,10541
initial,52,8142,22,0,4,18,127,10541
